name,dosage,duration,instructions,category,description
Tab. Paracetamol 500mg,1-0-1,3-5 days,After food,Analgesic/Antipyretic,"Analgesic and antipyretic commonly used for mild-to-moderate pain and fever; generally well tolerated, avoid overdose due to risk of liver injury."
Tab. Paracetamol 650mg,1-0-1,3-5 days,After food,Analgesic/Antipyretic,"Higher single tablet strength of paracetamol used for pain/fever; same precautions regarding cumulative daily dose and hepatic risk."
Tab. Ibuprofen 400mg,1-0-1,3-5 days,After food,NSAID,"Nonsteroidal anti-inflammatory drug (NSAID) that reduces pain, inflammation and fever; can cause gastric irritation, renal impairment, and increase bleeding risk."
Tab. Diclofenac 50mg,1-0-1,3-5 days,After food,NSAID,"NSAID effective for inflammatory pain; caution with cardiovascular risk, GI side effects, and renal function."
Tab. Amoxicillin 500mg,1-1-1,5-7 days,After food,Antibiotic,"A broad-spectrum beta-lactam antibiotic used for many common bacterial infections; watch for allergy and GI side effects."
Tab. Amoxicillin + Clavulanic Acid 625mg,1-0-1,5 days,After food,Antibiotic,"Beta-lactam plus beta-lactamase inhibitor extending spectrum to resistant organisms; increased GI side effects possible."
Tab. Azithromycin 500mg,0-0-1,3-5 days,1 hour before food,Antibiotic,"Macrolide antibiotic with convenient short-course dosing and good tissue penetration; can affect cardiac rhythm (QT prolongation) in susceptible patients."
Tab. Ciprofloxacin 500mg,1-0-1,5 days,After food,Antibiotic,"Fluoroquinolone antibiotic used for various infections; associated with tendon problems, CNS effects, and should be used when benefits outweigh risks."
Tab. Cefixime 200mg,1-0-1,5 days,After food,Antibiotic,"Oral third-generation cephalosporin for community infections; generally well tolerated but avoid in severe penicillin allergy."
Tab. Metronidazole 400mg,1-1-1,5 days,After food,Antibiotic/Antiprotozoal,"Active against anaerobes and certain protozoa; avoid alcohol during and 48 hours after therapy due to disulfiram-like effects."
Tab. Cetirizine 10mg,0-0-1,5 days,Bedtime,Antihistamine,"Second-generation antihistamine used for allergic symptoms; less sedating than first-generation but may still cause drowsiness in some."
Tab. Levocetirizine 5mg,0-0-1,5 days,Bedtime,Antihistamine,"Active enantiomer of cetirizine with similar effects; used for allergic rhinitis and urticaria with low anticholinergic effects."
Tab. Montelukast 10mg,0-0-1,10 days,Bedtime,Respiratory/Antiallergic,"Leukotriene receptor antagonist used for asthma and allergic rhinitis; generally well tolerated but monitor for mood changes."
Tab. Montelukast + Levocetirizine,0-0-1,5-10 days,Bedtime,Respiratory/Antiallergic,"Combination therapy targeting different allergic pathways; useful in mixed allergic symptoms."
Tab. Omeprazole 20mg,1-0-0,7-14 days,30 mins before breakfast,Antacid/PPI,"Proton pump inhibitor that reduces gastric acid secretion; useful for reflux and peptic disease; long-term use associated with nutrient malabsorption and infection risk."
Tab. Pantoprazole 40mg,1-0-0,7-14 days,30 mins before breakfast,Antacid/PPI,"PPI similar to omeprazole with once-daily dosing for acid-related disorders; monitor for interaction with certain drugs long-term."
Tab. Ranitidine 150mg,1-0-1,5-7 days,Before food,Antacid/H2 Blocker,"H2 receptor antagonist historically used for acid suppression; note many formulations recalled in some regions—check local availability and advisories."
Tab. Domperidone 10mg,1-1-1,3-5 days,30 mins before food,Antiemetic/Prokinetic,"Peripheral dopamine antagonist used for nausea and gastroparesis; can prolong QT interval in high doses—use caution with cardiac disease."
Tab. Ondansetron 4mg,1-1-1,3 days,Before food,Antiemetic,"5-HT3 antagonist effective for nausea and vomiting; may cause constipation and rare QT prolongation."
